"Sheepla","Sheepla"
"Sheepla tracking no.","Номер отслеживания Sheepla"
"Carrier","Перевозчик"
"Carrier tracking no.","Номер отслеживания перевозчика"
"Shipping label", "Ярлык доставки"
"Summary document", "Ведомость"
"Shipment status", "Статус доставки"
"Create another Sheepla shipment", "Создать новую доставку Sheepla"
"Download","Скачать"
"InPreparation", "В обработке"
"AwaitingManifest", "Ожидает добавления в список"
"Shipment", "Доставка"
"Settings", "Настройки"
"API url", "API url"
"API key", "Ключ API"
"User,"Пользователь"
"Password","Пароль"
"Autoconfim", "Подтверждать автоматически"
"Shipping method | Option 1", "Тип доставки | Параметр 1"
"Shipping method | Option 2", "Тип доставки | Параметр 2"
"Shipping method | Option 3", "Тип доставки | Параметр 3"
"Shipping method | Option 4", "Тип доставки | Параметр 4"
"Shipping method | Option 5", "Тип доставки | Параметр 5"
"Name", "Имя"
"Active", "Активный"
"Description", "Описание"
"Price", "Цена"
"Type", "Тип"
"Payment methods", "Метод оплаты"
"Shipment template", "Шаблон доставки"
"Hidden", "Скрыто"
"Index", "Индекс"
"Name shown to customer", "Имя, отображаемое для покупателя"
"Description shown to customer", "Описание, отображаемое для покупателя"
"Shipping cost visible to customer", "Стоимость доставки, отображаемая для покупателя"
"Type determines the way this option is presented to the customer","Тип определяет способ отображения параметра для покупателя"
"Payment methods available for this shipping option","Способы оплаты, доступные для данного типа доставки"
"Shipment template defined in Sheepla used to create shipments","Шаблон доставки, определенный в Sheepla используется для создания новых доставок"
"Available to administrators only","Доступно только для администратора"
"Display order", "Порядок отображения"
"Machine","Постамат"
"Choose", "Выбрать"
"Select", "Выбрать"
"Cancel", "Отмена"
"Robust delivery by Sheepla!","Sheepla"
"Change, "Изменить"
"Choose a city", "Выбрать город"
"City", "Городllasdasd"
"Machine picker", "Выбор постамата"
"Instruction", "Инструкция"
"From the drop-down list at the top of the page select the town where you intend to pick up purchases.","Из выпадающего списка в верхней части страницы выберите город, в котором вы намерены забрать товар."
"See a list of available machines in a given location.","Посмотреть список доступных machines в указанной местности."
"On the right side is a map so you can see exactly where there are individual machines. After clicking on the icon showing the exact location you can read more detailed information.","Слева находится карта с отмеченными постаматами на ней. После щелчка на иконке постамата вы сможете прочесть более подробную информацию о нем."
"To select a machine use the link Select, which is located on the right of the list and in the description of the location on the map.","Для выбора постамата используйте ссылку "Выбрать" в левой части списка, а также в описании постамата на карте."
"Available machines","Доступные постаматы"
"Street","Улица"
"Postal code","Почтовый индекс"
"Machine","Постамат"
"Options","Настройки"
"Mobile no. to receive SMS notifications:","Номер сотового телефона для получения SMS уведомлений:"
"I've read and I accept terms of use of Paczkomaty 24/7 service.","Я прочел и принимаю условия использования сервиса."
"The use of the service Paczkomaty 24/7 requires the transfer of data (name, email address, phone, postal code) to the InPost company. Terms of use in electronic form is available at:","Использование сервиса требует передачи данных (имени, адреса email, телефона и почтового индекса) в почтовую службу. Условия использования в электронной форме доступны по ссылке:"
"Note", "Заметка"
"Wire transfer", "Банковский платеж"
"Cash On Delivery", "Расчет наличными при доставке"
"Bank","Банк"
"Account no.","Номер аккаунта:"
"Tranfer title:","Имя транзакции:"
"Account owner:", "Владелец аккаунта:"
"Account owner address:", "Адрес владельца аккаунта:"
"You can obtain your API key on sheepla.pl", "Вы можете получить ключ API зарегистрировавшись на sheepla.ru"